icon 0: {'type': 'text', 'bbox': [0.0717741921544075, 0.01984127052128315, 0.16612903773784637, 0.035353533923625946], 'interactivity': True, 'content': '18:35', 'source': 'box_ocr_content_ocr'}
icon 1: {'type': 'icon', 'bbox': [0.17268908023834229, 0.01755645126104355, 0.21539343893527985, 0.03613543510437012], 'interactivity': True, 'content': 'a messaging or messaging application.', 'source': 'box_yolo_content_yolo'}
icon 2: {'type': 'icon', 'bbox': [0.22183850407600403, 0.01775592751801014, 0.26192063093185425, 0.03565867990255356], 'interactivity': True, 'content': 'A web browser or application.', 'source': 'box_yolo_content_yolo'}
icon 3: {'type': 'icon', 'bbox': [0.27147936820983887, 0.0176978949457407, 0.30940747261047363, 0.03531891852617264], 'interactivity': True, 'content': 'A bookmark or note-taking application.', 'source': 'box_yolo_content_yolo'}
icon 4: {'type': 'icon', 'bbox': [0.3202321529388428, 0.017516912892460823, 0.36069273948669434, 0.035489607602357864], 'interactivity': True, 'content': 'A note or note-taking application.', 'source': 'box_yolo_content_yolo'}
icon 5: {'type': 'icon', 'bbox': [0.7073156833648682, 0.015465516597032547, 0.7536323070526123, 0.03702221065759659], 'interactivity': True, 'content': 'a line or arrow pointing downward.', 'source': 'box_yolo_content_yolo'}
icon 6: {'type': 'icon', 'bbox': [0.7631595730781555, 0.016418149694800377, 0.8122291564941406, 0.03629007562994957], 'interactivity': True, 'content': 'Wi-Fi signal orWi-fi connectivity.', 'source': 'box_yolo_content_yolo'}
icon 7: {'type': 'icon', 'bbox': [0.8185704946517944, 0.017776543274521828, 0.8581023216247559, 0.035150155425071716], 'interactivity': True, 'content': 'A close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 8: {'type': 'icon', 'bbox': [0.8674100637435913, 0.01825113594532013, 0.9341580271720886, 0.035108789801597595], 'interactivity': True, 'content': 'A number or date.', 'source': 'box_yolo_content_yolo'}
icon 9: {'type': 'icon', 'bbox': [0.8752808570861816, 0.051444269716739655, 0.9611533880233765, 0.0853065699338913], 'interactivity': True, 'content': 'A magnifying glass or magnifying tool.', 'source': 'box_yolo_content_yolo'}
icon 10: {'type': 'icon', 'bbox': [0.4017878770828247, 0.3607500493526459, 0.5930173397064209, 0.38394126296043396], 'interactivity': True, 'content': 'the number 1.', 'source': 'box_yolo_content_yolo'}
icon 11: {'type': 'icon', 'bbox': [0.771240234375, 0.3523288667201996, 0.8437836766242981, 0.3852367401123047], 'interactivity': True, 'content': 'A symbol or symbol related to a function or function.', 'source': 'box_yolo_content_yolo'}
icon 12: {'type': 'icon', 'bbox': [0.8964968919754028, 0.35275959968566895, 0.9690403342247009, 0.3845922648906708], 'interactivity': True, 'content': 'a close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 13: {'type': 'icon', 'bbox': [0.037307873368263245, 0.40277984738349915, 0.15487048029899597, 0.4532915949821472], 'interactivity': True, 'content': 'a user profile or account.', 'source': 'box_yolo_content_yolo'}
