icon 0: {'type': 'text', 'bbox': [0.06693548709154129, 0.01984127052128315, 0.15403226017951965, 0.035353533923625946], 'interactivity': True, 'content': '17:13', 'source': 'box_ocr_content_ocr'}
icon 1: {'type': 'icon', 'bbox': [0.1645679473876953, 0.017546767368912697, 0.2079920917749405, 0.03665168955922127], 'interactivity': True, 'content': 'a symbol or logo.', 'source': 'box_yolo_content_yolo'}
icon 2: {'type': 'icon', 'bbox': [0.21568238735198975, 0.017809834331274033, 0.25616511702537537, 0.03592298924922943], 'interactivity': True, 'content': 'Refresh or reload the page.', 'source': 'box_yolo_content_yolo'}
icon 3: {'type': 'icon', 'bbox': [0.26675623655319214, 0.01795375347137451, 0.3044576048851013, 0.03530284762382507], 'interactivity': True, 'content': 'A note or note-taking application.', 'source': 'box_yolo_content_yolo'}
icon 4: {'type': 'icon', 'bbox': [0.31461694836616516, 0.017904363572597504, 0.3587615191936493, 0.03601875528693199], 'interactivity': True, 'content': 'Refresh or reload the page.', 'source': 'box_yolo_content_yolo'}
icon 5: {'type': 'icon', 'bbox': [0.7030267715454102, 0.016754889860749245, 0.749214231967926, 0.037450049072504044], 'interactivity': True, 'content': 'A symbol or symbol related to a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 6: {'type': 'icon', 'bbox': [0.7568525671958923, 0.01672809198498726, 0.8055382370948792, 0.037114500999450684], 'interactivity': True, 'content': 'Wi-Fi signal or internet connectivity.', 'source': 'box_yolo_content_yolo'}
icon 7: {'type': 'icon', 'bbox': [0.8084704279899597, 0.016290953382849693, 0.8549172878265381, 0.037457551807165146], 'interactivity': True, 'content': 'a close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 8: {'type': 'icon', 'bbox': [0.859921932220459, 0.015149093233048916, 0.9320716857910156, 0.03840581700205803], 'interactivity': True, 'content': 'A number or date.', 'source': 'box_yolo_content_yolo'}
icon 9: {'type': 'text', 'bbox': [0.3362903296947479, 0.06890331953763962, 0.7306451797485352, 0.08658009022474289], 'interactivity': True, 'content': '61817', 'source': 'box_ocr_content_ocr'}
icon 10: {'type': 'icon', 'bbox': [0.5297909379005432, 0.06361830234527588, 0.5911422967910767, 0.0915270522236824], 'interactivity': True, 'content': 'the symbol for filling a page or creating a new item.', 'source': 'box_yolo_content_yolo'}
icon 11: {'type': 'icon', 'bbox': [0.046814803034067154, 0.13865111768245697, 0.11451249569654465, 0.17229092121124268], 'interactivity': True, 'content': 'N/A', 'source': 'box_yolo_content_yolo'}
icon 12: {'type': 'text', 'bbox': [0.13064515590667725, 0.14249639213085175, 0.3983871042728424, 0.16378065943717957], 'interactivity': True, 'content': '1.8J+E', 'source': 'box_ocr_content_ocr'}
icon 13: {'type': 'icon', 'bbox': [0.9145117998123169, 0.13696877658367157, 0.9689986705780029, 0.1719043105840683], 'interactivity': True, 'content': 'a push pin or arrow.', 'source': 'box_yolo_content_yolo'}
icon 14: {'type': 'text', 'bbox': [0.1943548321723938, 0.1991342008113861, 0.6564516425132751, 0.2229437232017517], 'interactivity': True, 'content': '379 ^399', 'source': 'box_ocr_content_ocr'}
icon 15: {'type': 'icon', 'bbox': [0.8844773769378662, 0.19519011676311493, 0.9672035574913025, 0.23287582397460938], 'interactivity': True, 'content': 'A close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 16: {'type': 'text', 'bbox': [0.13467742502689362, 0.30844154953956604, 0.6919354796409607, 0.3261183202266693], 'interactivity': True, 'content': 'CHINGVERY $F24-1-502', 'source': 'box_ocr_content_ocr'}
icon 17: {'type': 'icon', 'bbox': [0.8812469244003296, 0.31287840008735657, 0.9623056650161743, 0.35837411880493164], 'interactivity': True, 'content': 'a push pin or pinning function.', 'source': 'box_yolo_content_yolo'}
icon 18: {'type': 'icon', 'bbox': [0.8074662685394287, 0.39985227584838867, 0.863996148109436, 0.4244992434978485], 'interactivity': True, 'content': 'a loading or buffering indicator.', 'source': 'box_yolo_content_yolo'}
icon 19: {'type': 'icon', 'bbox': [0.8971871733665466, 0.40002918243408203, 0.9453345537185669, 0.422799289226532], 'interactivity': True, 'content': 'a close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 20: {'type': 'icon', 'bbox': [0.04787242412567139, 0.4402492642402649, 0.3430539667606354, 0.6160377264022827], 'interactivity': True, 'content': '399 ', 'source': 'box_yolo_content_ocr'}
icon 21: {'type': 'icon', 'bbox': [0.3432983160018921, 0.4398469030857086, 0.6507903337478638, 0.6171934604644775], 'interactivity': True, 'content': '399 ', 'source': 'box_yolo_content_ocr'}
icon 22: {'type': 'icon', 'bbox': [0.04636374115943909, 0.6421673893928528, 0.14469784498214722, 0.673913836479187], 'interactivity': True, 'content': 'A symbol or symbol related to programming or language.', 'source': 'box_yolo_content_yolo'}
icon 23: {'type': 'icon', 'bbox': [0.4452047049999237, 0.6434837579727173, 0.6206676363945007, 0.6682637929916382], 'interactivity': True, 'content': 'adding a new item or message.', 'source': 'box_yolo_content_yolo'}
icon 24: {'type': 'icon', 'bbox': [0.6439206004142761, 0.6348891258239746, 0.7439126372337341, 0.6792402863502502], 'interactivity': True, 'content': 'a single line or an arrow.', 'source': 'box_yolo_content_yolo'}
icon 25: {'type': 'icon', 'bbox': [0.753815770149231, 0.6355294585227966, 0.8364476561546326, 0.6786142587661743], 'interactivity': True, 'content': 'the number 1.', 'source': 'box_yolo_content_yolo'}
