icon 0: {'type': 'icon', 'bbox': [0.03806903958320618, 0.011183375492691994, 0.1572803407907486, 0.04226454347372055], 'interactivity': True, 'content': '11:01 ', 'source': 'box_yolo_content_ocr'}
icon 1: {'type': 'icon', 'bbox': [0.15967203676700592, 0.016965597867965698, 0.21211639046669006, 0.036928970366716385], 'interactivity': True, 'content': 'a notification or alert.', 'source': 'box_yolo_content_yolo'}
icon 2: {'type': 'icon', 'bbox': [0.21613262593746185, 0.01744478940963745, 0.25781142711639404, 0.03527536615729332], 'interactivity': True, 'content': 'a video call or messaging application.', 'source': 'box_yolo_content_yolo'}
icon 3: {'type': 'icon', 'bbox': [0.26629143953323364, 0.017933672294020653, 0.3070388734340668, 0.03525587171316147], 'interactivity': True, 'content': 'A note or note-taking application.', 'source': 'box_yolo_content_yolo'}
icon 4: {'type': 'icon', 'bbox': [0.3132326006889343, 0.017745759338140488, 0.35821065306663513, 0.0351460725069046], 'interactivity': True, 'content': 'A notification or application.', 'source': 'box_yolo_content_yolo'}
icon 5: {'type': 'icon', 'bbox': [0.36249294877052307, 0.017354203388094902, 0.40790024399757385, 0.036741483956575394], 'interactivity': True, 'content': 'A bookmark or pinning function.', 'source': 'box_yolo_content_yolo'}
icon 6: {'type': 'icon', 'bbox': [0.7538357377052307, 0.016493892297148705, 0.8079018592834473, 0.03734569996595383], 'interactivity': True, 'content': 'A tool or tool for filling up a page or application.', 'source': 'box_yolo_content_yolo'}
icon 7: {'type': 'icon', 'bbox': [0.8079888820648193, 0.014630625024437904, 0.8589498996734619, 0.04159655049443245], 'interactivity': True, 'content': 'a close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 8: {'type': 'icon', 'bbox': [0.8628330230712891, 0.013122628442943096, 0.9354876279830933, 0.044783685356378555], 'interactivity': True, 'content': '100J ', 'source': 'box_yolo_content_ocr'}
icon 9: {'type': 'icon', 'bbox': [0.022287368774414062, 0.04779263585805893, 0.12005925178527832, 0.0880298987030983], 'interactivity': True, 'content': 'a button for adjusting the content.', 'source': 'box_yolo_content_yolo'}
icon 10: {'type': 'icon', 'bbox': [0.1255597174167633, 0.04715438559651375, 0.24619507789611816, 0.08671873807907104], 'interactivity': True, 'content': 'a loading or buffering indicator.', 'source': 'box_yolo_content_yolo'}
icon 11: {'type': 'icon', 'bbox': [0.24538131058216095, 0.04627609625458717, 0.37551242113113403, 0.08772534132003784], 'interactivity': True, 'content': 'Adding a new item or message.', 'source': 'box_yolo_content_yolo'}
icon 12: {'type': 'icon', 'bbox': [0.3746676445007324, 0.04722941294312477, 0.50298011302948, 0.08721153438091278], 'interactivity': True, 'content': 'the symbol for Chinese characters.', 'source': 'box_yolo_content_yolo'}
icon 13: {'type': 'icon', 'bbox': [0.5095918774604797, 0.04874758794903755, 0.6321421265602112, 0.08815740793943405], 'interactivity': True, 'content': 'A symbol or symbol related to writing.', 'source': 'box_yolo_content_yolo'}
icon 14: {'type': 'icon', 'bbox': [0.6306372880935669, 0.049386415630578995, 0.763543963432312, 0.08998974412679672], 'interactivity': True, 'content': 'A symbol or symbol related to writing.', 'source': 'box_yolo_content_yolo'}
icon 15: {'type': 'icon', 'bbox': [0.7698246836662292, 0.046257250010967255, 0.8589591979980469, 0.09001761674880981], 'interactivity': True, 'content': 'Refresh or reload.', 'source': 'box_yolo_content_yolo'}
icon 16: {'type': 'icon', 'bbox': [0.8709990382194519, 0.04557842016220093, 0.9719375371932983, 0.09034285694360733], 'interactivity': True, 'content': 'the magnifying glass function.', 'source': 'box_yolo_content_yolo'}
icon 17: {'type': 'text', 'bbox': [0.04435483738780022, 0.10930735617876053, 0.3499999940395355, 0.13455988466739655], 'interactivity': True, 'content': 'Q honeycare,#', 'source': 'box_ocr_content_ocr'}
icon 18: {'type': 'icon', 'bbox': [0.6512891054153442, 0.1049601137638092, 0.7230573296546936, 0.13938839733600616], 'interactivity': True, 'content': 'a thumbs up or like symbol.', 'source': 'box_yolo_content_yolo'}
icon 19: {'type': 'icon', 'bbox': [0.7254292964935303, 0.10227695852518082, 0.8636794686317444, 0.13958151638507843], 'interactivity': True, 'content': 'a symbol or symbol related to a new item or platform.', 'source': 'box_yolo_content_yolo'}
icon 20: {'type': 'icon', 'bbox': [0.8796597123146057, 0.1015469953417778, 0.9778306484222412, 0.1404341608285904], 'interactivity': True, 'content': '28 ', 'source': 'box_yolo_content_ocr'}
icon 21: {'type': 'icon', 'bbox': [0.3864375650882721, 0.1850089132785797, 0.49434342980384827, 0.23282165825366974], 'interactivity': True, 'content': 'a magnifying glass, which is used to show the location of a file.', 'source': 'box_yolo_content_yolo'}
icon 22: {'type': 'icon', 'bbox': [0.5043857097625732, 0.1522292196750641, 0.9850693345069885, 0.29593753814697266], 'interactivity': True, 'content': '185 ', 'source': 'box_yolo_content_ocr'}
icon 23: {'type': 'text', 'bbox': [0.12338709831237793, 0.23593074083328247, 0.24032257497310638, 0.24963924288749695], 'interactivity': True, 'content': 'Tempo', 'source': 'box_ocr_content_ocr'}
icon 24: {'type': 'icon', 'bbox': [0.3809393644332886, 0.23211993277072906, 0.49602124094963074, 0.27810946106910706], 'interactivity': True, 'content': 'Refresh or reload the page.', 'source': 'box_yolo_content_yolo'}
icon 25: {'type': 'icon', 'bbox': [0.38268613815307617, 0.2784901261329651, 0.4946846663951874, 0.33425283432006836], 'interactivity': True, 'content': 'A symbol or logo indicating a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 26: {'type': 'icon', 'bbox': [0.3018845319747925, 0.3448123335838318, 0.49281054735183716, 0.36820560693740845], 'interactivity': True, 'content': 'Adding a new item or element.', 'source': 'box_yolo_content_yolo'}
icon 27: {'type': 'icon', 'bbox': [0.028555892407894135, 0.37528735399246216, 0.17687027156352997, 0.3985404670238495], 'interactivity': True, 'content': 'A tool or toolbox, typically used for marking or marking items.', 'source': 'box_yolo_content_yolo'}
icon 28: {'type': 'icon', 'bbox': [0.19901666045188904, 0.3741645812988281, 0.46371665596961975, 0.39789989590644836], 'interactivity': True, 'content': 'a tool for filling areas with a line.', 'source': 'box_yolo_content_yolo'}
icon 29: {'type': 'icon', 'bbox': [0.02419400028884411, 0.39778345823287964, 0.32953888177871704, 0.4226289689540863], 'interactivity': True, 'content': 'A note-taking application or note-related function.', 'source': 'box_yolo_content_yolo'}
icon 30: {'type': 'icon', 'bbox': [0.503241240978241, 0.29979127645492554, 0.9923439025878906, 0.5142344832420349], 'interactivity': True, 'content': 'A drawing or painting tool.', 'source': 'box_yolo_content_yolo'}
icon 31: {'type': 'icon', 'bbox': [0.028926419094204903, 0.4231603443622589, 0.20689155161380768, 0.44924888014793396], 'interactivity': True, 'content': 'Red paint or paintbrush tool.', 'source': 'box_yolo_content_yolo'}
icon 32: {'type': 'icon', 'bbox': [0.5024116635322571, 0.5145961046218872, 0.9876103401184082, 0.6037732362747192], 'interactivity': True, 'content': '26.8 E17# ', 'source': 'box_yolo_content_ocr'}
icon 33: {'type': 'icon', 'bbox': [0.5061835646629333, 0.6068494915962219, 0.9907712936401367, 0.8223960399627686], 'interactivity': True, 'content': 'Nobaday ', 'source': 'box_yolo_content_ocr'}
icon 34: {'type': 'text', 'bbox': [0.40403226017951965, 0.7384560108184814, 0.47580644488334656, 0.7543290257453918], 'interactivity': True, 'content': ' 3', 'source': 'box_ocr_content_ocr'}
icon 35: {'type': 'text', 'bbox': [0.5290322303771973, 0.8300865888595581, 0.9564515948295593, 0.8510100841522217], 'interactivity': True, 'content': '$E NOBADAY', 'source': 'box_ocr_content_ocr'}
icon 36: {'type': 'icon', 'bbox': [0.5187283158302307, 0.8527683019638062, 0.7178261280059814, 0.8728611469268799], 'interactivity': True, 'content': 'a tool for filling areas with a line or tool.', 'source': 'box_yolo_content_yolo'}
icon 37: {'type': 'text', 'bbox': [0.522580623626709, 0.8769841194152832, 0.7758064270019531, 0.9000721573829651], 'interactivity': True, 'content': '139 E267#', 'source': 'box_ocr_content_ocr'}
icon 38: {'type': 'icon', 'bbox': [0.04078060761094093, 0.9370867609977722, 0.1589445173740387, 0.9657334685325623], 'interactivity': True, 'content': 'a walking or stop button.', 'source': 'box_yolo_content_yolo'}
icon 39: {'type': 'icon', 'bbox': [0.22026635706424713, 0.9320310354232788, 0.37754878401756287, 0.9701814651489258], 'interactivity': True, 'content': 'a walking symbol.', 'source': 'box_yolo_content_yolo'}
icon 40: {'type': 'icon', 'bbox': [0.4452120363712311, 0.9301655888557434, 0.5521770119667053, 0.9693273901939392], 'interactivity': True, 'content': 'Adding a new item or element.', 'source': 'box_yolo_content_yolo'}
