icon 0: {'type': 'text', 'bbox': [0.0717741921544075, 0.01984127052128315, 0.16129031777381897, 0.035353533923625946], 'interactivity': True, 'content': '10:02', 'source': 'box_ocr_content_ocr'}
icon 1: {'type': 'icon', 'bbox': [0.1715432107448578, 0.017173931002616882, 0.21327190101146698, 0.03592771664261818], 'interactivity': True, 'content': 'a notification or alert.', 'source': 'box_yolo_content_yolo'}
icon 2: {'type': 'icon', 'bbox': [0.22157560288906097, 0.017269494011998177, 0.2611302137374878, 0.035859428346157074], 'interactivity': True, 'content': 'A note or note-taking application.', 'source': 'box_yolo_content_yolo'}
icon 3: {'type': 'icon', 'bbox': [0.2720208466053009, 0.017739811912178993, 0.31052669882774353, 0.035674434155225754], 'interactivity': True, 'content': 'A symbol or logo, possibly for a messaging app.', 'source': 'box_yolo_content_yolo'}
icon 4: {'type': 'icon', 'bbox': [0.3203117549419403, 0.01782645471394062, 0.3615674674510956, 0.03636344149708748], 'interactivity': True, 'content': 'Refresh or reload.', 'source': 'box_yolo_content_yolo'}
icon 5: {'type': 'icon', 'bbox': [0.7074840068817139, 0.016500581055879593, 0.7531039118766785, 0.037741173058748245], 'interactivity': True, 'content': 'A symbol or symbol related to a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 6: {'type': 'icon', 'bbox': [0.7638949751853943, 0.017152102664113045, 0.8119694590568542, 0.03676918148994446], 'interactivity': True, 'content': 'Wi-Fi signal orWi-fi connectivity.', 'source': 'box_yolo_content_yolo'}
icon 7: {'type': 'icon', 'bbox': [0.8182730674743652, 0.01766194775700569, 0.8584892749786377, 0.03579610213637352], 'interactivity': True, 'content': 'Close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 8: {'type': 'icon', 'bbox': [0.8674352765083313, 0.017616266384720802, 0.9342288970947266, 0.035444654524326324], 'interactivity': True, 'content': 'A number or date.', 'source': 'box_yolo_content_yolo'}
icon 9: {'type': 'icon', 'bbox': [0.025008635595440865, 0.0500483363866806, 0.4660128653049469, 0.09640917181968689], 'interactivity': True, 'content': '977 ', 'source': 'box_yolo_content_ocr'}
icon 10: {'type': 'icon', 'bbox': [0.5321221947669983, 0.05532988905906677, 0.6128015518188477, 0.09072472155094147], 'interactivity': True, 'content': 'a person with long black hair.', 'source': 'box_yolo_content_yolo'}
icon 11: {'type': 'icon', 'bbox': [0.6181544065475464, 0.05546816438436508, 0.696649432182312, 0.09066594392061234], 'interactivity': True, 'content': 'a mirror or a mirror.', 'source': 'box_yolo_content_yolo'}
icon 12: {'type': 'icon', 'bbox': [0.7027171850204468, 0.05524623394012451, 0.7819703817367554, 0.09066236019134521], 'interactivity': True, 'content': 'A dark blue circle with a light in it.', 'source': 'box_yolo_content_yolo'}
icon 13: {'type': 'icon', 'bbox': [0.7874056696891785, 0.055042143911123276, 0.8781386613845825, 0.09098613262176514], 'interactivity': True, 'content': 'A loading or buffering indicator with the number 7.', 'source': 'box_yolo_content_yolo'}
icon 14: {'type': 'icon', 'bbox': [0.8983108997344971, 0.055168818682432175, 0.9762442111968994, 0.0911349281668663], 'interactivity': True, 'content': 'a close or delete function.', 'source': 'box_yolo_content_yolo'}
icon 15: {'type': 'icon', 'bbox': [0.02774733304977417, 0.1048261821269989, 0.22572794556617737, 0.13430282473564148], 'interactivity': True, 'content': 'A symbol or logo indicating a location or location.', 'source': 'box_yolo_content_yolo'}
icon 16: {'type': 'icon', 'bbox': [0.23562929034233093, 0.10448119789361954, 0.3968079686164856, 0.1343778371810913], 'interactivity': True, 'content': 'a symbol or symbol related to a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 17: {'type': 'icon', 'bbox': [0.7400724291801453, 0.10493195056915283, 0.9838865995407104, 0.13383840024471283], 'interactivity': True, 'content': 'a tool for adding or creating a new item.', 'source': 'box_yolo_content_yolo'}
icon 18: {'type': 'icon', 'bbox': [0.6088541150093079, 0.14012837409973145, 0.9694547653198242, 0.18764041364192963], 'interactivity': True, 'content': 'A bookmarking or bookmarking function.', 'source': 'box_yolo_content_yolo'}
icon 19: {'type': 'icon', 'bbox': [0.9468281269073486, 0.5962554216384888, 0.9944933652877808, 0.6216337084770203], 'interactivity': True, 'content': 'a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 20: {'type': 'icon', 'bbox': [0.6589386463165283, 0.745682418346405, 0.9715694189071655, 0.7739757299423218], 'interactivity': True, 'content': 'A label or label indicating a specific location or location.', 'source': 'box_yolo_content_yolo'}
icon 21: {'type': 'icon', 'bbox': [0.6587222814559937, 0.7725358605384827, 0.9731028079986572, 0.7999595403671265], 'interactivity': True, 'content': 'A message or message box.', 'source': 'box_yolo_content_yolo'}
icon 22: {'type': 'text', 'bbox': [0.06290322542190552, 0.7875180244445801, 0.4879032373428345, 0.8051947951316833], 'interactivity': True, 'content': '2I***:ita022', 'source': 'box_ocr_content_ocr'}
icon 23: {'type': 'icon', 'bbox': [0.6849568486213684, 0.8070385456085205, 0.9495922327041626, 0.9083860516548157], 'interactivity': True, 'content': 'a text alignment tool.', 'source': 'box_yolo_content_yolo'}
icon 24: {'type': 'icon', 'bbox': [0.049838922917842865, 0.8838306069374084, 0.13672703504562378, 0.908164381980896], 'interactivity': True, 'content': 'A bookmark or bookmark feature, specifically the number 10.', 'source': 'box_yolo_content_yolo'}
icon 25: {'type': 'text', 'bbox': [0.060483869165182114, 0.8885281682014465, 0.3056451678276062, 0.906204879283905], 'interactivity': True, 'content': '10****', 'source': 'box_ocr_content_ocr'}
icon 26: {'type': 'icon', 'bbox': [0.341361403465271, 0.925881028175354, 0.44700106978416443, 0.9711141586303711], 'interactivity': True, 'content': 'a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 27: {'type': 'icon', 'bbox': [0.46402493119239807, 0.9247726202011108, 0.5770431160926819, 0.9716358184814453], 'interactivity': True, 'content': 'a thumbs up or like button.', 'source': 'box_yolo_content_yolo'}
icon 28: {'type': 'icon', 'bbox': [0.5953103303909302, 0.9240348935127258, 0.7080243229866028, 0.9725590348243713], 'interactivity': True, 'content': 'a logo or symbol related to a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 29: {'type': 'icon', 'bbox': [0.7239866256713867, 0.9226893186569214, 0.8399425148963928, 0.9724768400192261], 'interactivity': True, 'content': 'A sticky note or note-taking application.', 'source': 'box_yolo_content_yolo'}
icon 30: {'type': 'icon', 'bbox': [0.8534391522407532, 0.9215908050537109, 0.9680137634277344, 0.9743115901947021], 'interactivity': True, 'content': 'a loading or buffering indicator.', 'source': 'box_yolo_content_yolo'}
